CASEID,MARITAL,AGEWED,DIVORCE,WIDOWED
    1,5, 0,0,0
    2,1,21,2,0
    3,1,20,2,0
    4,1,24,2,0
    5,1,22,2,0
    6,5, 0,0,0
    7,3,22,0,0
    8,5, 0,0,0
    9,5, 0,0,0
   10,1,19,2,0
   11,1,25,2,0
   12,1,17,2,0
   13,1,21,2,0
   14,3,18,0,0
   15,1,16,2,0
   16,1,24,1,0
   17,1,18,2,0
   18,1,16,1,0
   19,1,20,2,0
   20,5, 0,0,0
   21,1,26,2,0
   22,1,18,2,0
   23,1,19,2,0
   24,1,20,2,0
   25,1,30,2,0
   26,1,18,2,0
   27,1,18,2,0
   28,1,17,2,0
   29,1,19,2,0
   30,1,16,2,0
   31,1,21,2,0
   32,1,22,2,0
   33,5, 0,0,0
   34,1,21,2,0
   35,1,18,2,0
   36,1,22,2,0
   37,1,20,2,0
   38,1,15,2,0
   39,5, 0,0,0
   40,1,16,2,0
   41,2,18,2,0
   42,1,22,2,0
   43,1,22,2,0
   44,1,37,2,0
   45,1,21,2,0
   46,1,20,2,0
   47,5, 0,0,0
   48,1,23,2,0
   49,1,22,2,0
   50,1,23,2,0
   51,1,22,2,0
   52,1,22,2,0
   53,1,23,2,0
   54,1,20,2,0
   55,1,19,2,0
   56,1,22,2,0
   57,1,24,2,0
   58,1,20,2,0
   59,1,20,2,0
   60,1,18,2,0
   61,1,23,2,0
   62,1,35,1,0
   63,1,19,1,0
   64,1,25,9,0
   65,1,20,9,0
   66,1,19,1,0
   67,1,21,2,0
   68,1,17,2,0
   69,5, 0,0,0
   70,1,23,2,0
   71,1,18,1,0
   72,1,22,2,0
   73,1,25,2,0
   74,1,19,1,0
   75,5, 0,0,0
   76,5, 0,0,0
   77,1,23,2,0
   78,2,24,1,0
   79,5, 0,0,0
   80,5, 0,0,0
   81,1,25,9,0
   82,1,22,2,0
   83,3,28,0,0
   84,1,21,2,0
   85,5, 0,0,0
   86,1,23,2,0
   87,1,17,1,0
   88,5, 0,0,0
   89,1,23,2,0
   90,5, 0,0,0
   91,1,22,2,0
   92,1,18,2,0
   93,1,24,2,0
   94,1,20,2,0
   95,1,22,2,0
   96,1,21,2,0
   97,1,22,2,0
   98,1,23,2,0
   99,1,19,2,0
  100,1,17,2,0
  101,1,25,2,0
  102,1,25,2,0
  103,1,19,2,0
  104,1,26,2,0
  105,1,20,1,0
  106,1,15,2,0
  107,3,21,0,0
  108,5, 0,0,0
  109,3,20,0,0
  110,3,21,0,0
  111,3,29,0,0
  112,5, 0,0,0
  113,1,25,2,0
  114,1,28,2,0
  115,3,20,0,0
  116,4,22,0,0
  117,1,23,2,0
  118,4,19,0,0
  119,1,15,1,0
  120,4,18,0,0
  121,5, 0,0,0
  122,1,21,2,0
  123,1,27,2,0
  124,2,43,2,0
  125,1,22,2,0
  126,1,19,1,0
  127,1,22,2,0
  128,1,18,2,0
  129,1,28,2,0
  130,3,19,0,0
  131,1,35,2,0
  132,1,20,2,0
  133,1,24,2,0
  134,1,20,2,0
  135,1,17,1,0
  136,1,19,2,0
  137,5, 0,0,0
  138,1,38,1,0
  139,1,23,2,0
  140,1,35,2,0
  141,1,21,1,0
  142,2,28,2,0
  143,1,22,2,0
  144,3,25,0,0
  145,2,17,2,0
  146,5, 0,0,0
  147,1,21,1,0
  148,3,24,0,0
  149,1,26,2,0
  150,1,18,1,0
  151,1,19,2,0
  152,1,24,2,0
  153,1,19,2,0
  154,1,18,2,0
  155,1,17,1,0
  156,1,18,2,0
  157,2,17,2,0
  158,1,18,1,0
  159,1,19,2,0
  160,3,14,0,0
  161,1,20,2,0
  162,1,19,2,0
  163,1,27,2,0
  164,1,21,2,0
  165,5, 0,0,0
  166,4,17,0,0
  167,5, 0,0,0
  168,1,25,2,0
  169,1,28,2,0
  170,1,25,1,0
  171,1,21,2,0
  172,1,26,9,0
  173,5, 0,0,0
  174,5, 0,0,0
  175,5, 0,0,0
  176,1,21,2,0
  177,3,18,0,0
  178,5, 0,0,0
  179,1,25,2,0
  180,5, 0,0,0
  181,1,19,2,0
  182,1,19,2,0
  183,2,21,2,0
  184,2,19,1,0
  185,1,17,2,0
  186,1,20,2,0
  187,1,23,2,0
  188,5, 0,0,0
  189,1,20,2,0
  190,1,24,2,0
  191,1,22,2,0
  192,1,22,2,0
  193,1,22,2,0
  194,1,27,2,0
  195,5, 0,0,0
  196,3,19,0,0
  197,1,19,2,0
  198,1,20,9,0
  199,1,20,1,0
  200,1,23,2,0
  201,3,28,0,0
  202,1,19,2,0
  203,1,21,1,0
  204,1,17,1,0
  205,1,21,1,0
  206,1,18,1,0
  207,3,17,0,0
  208,1,20,2,0
  209,1,23,2,0
  210,1,23,2,0
  211,1,27,2,0
  212,2,20,1,0
  213,1,25,1,0
  214,4,13,0,0
  215,4,17,0,0
  216,1,20,2,0
  217,5, 0,0,0
  218,4,17,0,0
  219,1,21,2,0
  220,1,22,2,0
  221,1,22,2,0
  222,1,21,2,0
  223,1,35,2,0
  224,1,24,2,0
  225,1,20,2,0
  226,1,23,2,0
  227,1,21,2,0
  228,1,24,2,0
  229,1,35,1,0
  230,5, 0,0,0
  231,5, 0,0,0
  232,1,20,9,0
  233,5, 0,0,0
  234,1,18,1,0
  235,2,27,2,0
  236,5, 0,0,0
  237,1,15,2,0
  238,1,18,2,0
  239,1,26,2,0
  240,1,20,2,0
  241,1,16,2,0
  242,1,21,2,0
  243,1,22,2,0
  244,1,25,2,0
  245,3,22,0,0
  246,1,15,2,0
  247,1,21,2,0
  248,1,21,2,0
  249,1,18,2,0
  250,5, 0,0,0
  251,1,18,2,0
  252,4,20,0,0
  253,1,17,2,0
  254,5, 0,0,0
  255,1,21,2,0
  256,1,20,2,0
  257,1,28,2,0
  258,1,29,2,0
  259,2,21,2,0
  260,1,18,2,0
  261,1,17,2,0
  262,3,28,0,0
  263,4,19,0,0
  264,1,17,2,0
  265,1,23,2,0
  266,1,19,1,0
  267,1,26,2,0
  268,5, 0,0,0
  269,1,25,2,0
  270,2,23,2,0
  271,2,27,2,0
  272,1,23,2,0
  273,1,23,2,0
  274,1,23,2,0
  275,1,27,2,0
  276,1,19,2,0
  277,1,23,2,0
  278,1,19,2,0
  279,1,17,2,0
  280,1,25,2,0
  281,1,18,2,0
  282,1,20,2,0
  283,1,18,1,0
  284,1,22,2,0
  285,1,20,2,0
  286,1,20,2,0
  287,1,21,2,0
  288,1,22,2,0
  289,2,20,2,0
  290,1,21,2,0
  291,1,18,2,0
  292,1,20,2,0
  293,1,26,2,0
  294,1,23,2,0
  295,1,20,2,0
  296,1,19,2,0
  297,2,28,2,0
  298,4,21,0,0
  299,2,25,2,0
  300,1,18,2,0
  301,4,16,0,0
  302,1,16,2,0
  303,1,21,2,0
  304,1,38,1,0
  305,1,23,2,0
  306,1,18,2,0
  307,1,16,1,0
  308,2,21,2,0
  309,1,20,2,0
  310,1,17,1,0
  311,4,23,0,0
  312,4,19,0,0
  313,1,21,2,0
  314,4,24,0,0
  315,5, 0,0,0
  316,2,14,1,0
  317,1,24,2,0
  318,1,24,2,0
  319,3,22,0,0
  320,5, 0,0,0
  321,5, 0,0,0
  322,5, 0,0,0
  323,3,25,0,0
  324,5, 0,0,0
  325,1,23,2,0
  326,1,18,2,0
  327,1,23,2,0
  328,5, 0,0,0
  329,1,25,2,0
  330,1,31,2,0
  331,1,32,2,0
  332,1,19,2,0
  333,1,32,2,0
  334,1,28,2,0
  335,5, 0,0,0
  336,1,33,2,0
  337,1,17,2,0
  338,2,25,2,0
